id,stepik_id,title,summary,url,difficulty,learners_count,rating,tags,embedding,created_at,updated_at,is_paid,price
94,277079,Нейросети — первые шаги 👣,"Нейросети - это просто, особенно с магистром IT.
На курсе вы пошагово, вместе со мной получите свои первые результаты с бесплатными нейросетями, доступными в РФ.
Будут: живые примеры и скринкасты, простые инструменты, которые сразу работают.
Вы увидите, как они реально экономят часы, а иногда недели. 
Рассмотрим: ChatGPT, YandexGPT, Шедеврум и обсудим полезные ИИ-помощники. Увидимся на курсе!",https://stepik.org/course/277079,easy,90,0,"[""Личностный рост"",""Цифровая грамотность"",""Технологии и инновации"",""Искусственный интеллект"",""Навыки работы с ИИ""]",,2026-03-12T19:02:57.904892+00:00,2026-03-14T11:24:35.370053+00:00,False,
98,277039,Искусственный интеллект. Искусство промптинга (без сертификата),"Если вы используете нейросети «наугад», вы теряете время и получаете слабые ответы. Этот курс исправит ситуацию.
Вы освоите 13 мощных техник промптинга, которые используют продвинутые пользователи ИИ. Никакой воды — немного теории и очень много практика. Вы научитесь писать точные промпты, управлять ответами нейросетей и быстро получать нужный результат. После курса вы будете работать с ИИ в разы эффективнее большинства пользователей.",https://stepik.org/course/277039,normal,52,0,"[""Технологии и инновации"",""Искусственный интеллект"",""Личностный рост"",""Цифровая грамотность"",""Навыки работы с ИИ""]",,2026-03-12T19:02:57.910443+00:00,2026-03-14T11:24:35.376762+00:00,False,
100,276996,Тестирование API: GraphQL и gRPC для QA,"Программа направлена на формирование системного понимания тестирования современных способов взаимодействия работы с API: GraphQL и gRPC с акцентом на практику, реальные сценарии и работу через Postman.

Курсы выстроены по единой методологии:
от понимания архитектуры технологии
к разбору протокола и структуры запросов
к практическому тестированию бизнес-сценариев
к обработке ошибок и нестандартных кейсов
к подготовке к реальным рабочим задачам и собеседованиям",https://stepik.org/course/276996,normal,6,0,"[""Информационные технологии"",""Разработка программного обеспечения"",""Тестирование ПО""]",,2026-03-12T19:02:57.913345+00:00,2026-03-14T11:24:35.380173+00:00,True,8500.0
111,276799,Claude Code для прошаренных: полное руководство,"Курс про Claude и Claude Code от нуля до прода. Настройка, инструменты, Skills/Plugins, MCP, subagents, автоматизация (hooks/headless), промпты, API, тесты и безопасность. В итоге научишься собирать нормальных AI-агентов и встраивать их в настоящую разработку.",https://stepik.org/course/276799,normal,35,0,"[""Информационные технологии"",""ПО и инструменты для разработки"",""Личностный рост"",""Цифровая грамотность"",""Технологии и инновации"",""Искусственный интеллект"",""Навыки работы с ИИ""]",,2026-03-12T19:02:57.927515+00:00,2026-03-14T11:24:35.401175+00:00,True,2990.0
119,276665,Индонезийский для поездки: слова и фразы на каждый день,"Этот курс поможет вам легко общаться в Индонезии, даже если у вас нет опыта изучения языка. Вы освоите ключевые фразы для приветствия, знакомства, ресторанов, отелей, транспорта, покупок и туристических ситуаций. ",https://stepik.org/course/276665,easy,1,0,"[""Языки"",""Другие языки""]",,2026-03-12T19:02:57.937753+00:00,2026-03-14T11:24:35.418301+00:00,True,1599.0
120,276663,Визуализация интерьера с помощью нейросетей,"Визуализация с помощью нейросетей стала реальностью. На основе исходной геометрии (SketchUp, ArchiCad, Revit) мы можем создавать фотореалистичные изображения, заменять предметы без 3D моделирования, заменять отделку, освещение, вносить правки. Стоимость одной генерации (одно изображение) в нужной нейросети ~ 7руб. (зависит от сервиса), на сложные случаи можно потратить в среднем 10-15 генераций, а можно получить нужный результат уже с первого запроса.",https://stepik.org/course/276663,easy,1,0,"[""Архитектура"",""Дизайн интерьера""]",,2026-03-12T19:02:57.93918+00:00,2026-03-14T11:24:35.420089+00:00,True,5400.0
359,276400,1С: Печатные формы,Курс-практикум по созданию печатных форм в 1С. Вы пройдёте путь от первого макета до внешних печатных форм в типовых конфигурациях. Если вы только начинаете свой путь разработчика — печатные формы наверняка станут вашей первой боевой задачей.,https://stepik.org/course/276400,easy,22,0,"[""Информационные технологии"",""Языки программирования"",""1C"",""Бизнес и менеджмент"",""Развитие бизнеса"",""Бухгалтерский учёт""]",,2026-03-14T10:49:51.17449+00:00,2026-03-14T11:24:35.436683+00:00,False,
131,276324,ИНФОРМАТИКА ЕГЭ 2026 | ТЕОРИЯ ИГР | № 19 - 21 ЗАДАНИЯ | PYTHON,"Этот курс — стратегический фундамент для вашего высокого балла. Мы не просто разбираем задачи, а ставим на автомат решение самой предсказуемой и технической части экзамена.

Почему это важно?

Время-ресурс: На экзамене каждая минута на вес золота. Отточив первую часть до совершенства, вы освободите драгоценные часы для сложных программирования и развернутых задач.

Психология уверенности: Начать экзамен с четкого, отработанного алгоритма — значит сразу взять верный темп и снизить стресс.",https://stepik.org/course/276324,,22,0,"[""Компьютерные сети"",""Спортивное программирование"",""Учебные и академические дисциплины"",""Подготовка к экзаменам"",""Выпускные экзамены в школе"",""Подготовка к ЕГЭ"",""Информатика"",""Школьные предметы"",""Математика и статистика"",""Теория игр""]",,2026-03-12T19:02:57.954694+00:00,2026-03-14T11:24:35.444233+00:00,True,490.0
134,276255,Основы российской государственности,"Курс направлен на формирование у обучающихся системы знаний, связанных с проблематикой развития российской цивилизации и её государственности, а также осмыслением их специфики в условиях актуальных вызовов политической, экономической, техногенной и иной природы.",https://stepik.org/course/276255,,82,0,"[""Учебные и академические дисциплины"",""Социальные и гуманитарные науки"",""Социология""]",,2026-03-12T19:02:57.958505+00:00,2026-03-14T11:24:35.448259+00:00,False,
137,276214,Стажировка SA Middle+/ Senior | Весна 2026,"ОЧЕНЬ МНОГО ПРАКТИЧЕСКИХ ЗАДАНИЙ С ПРОВЕРКОЙ ОТ АВТОРА! Друзья, перед Вами НАИБОЛЕЕ ПОЛНЫЙ КУРС по Системному анализу для получения грейда MIDDLE+/SENIOR, в котором Вы изучите работу с требованиями, самые используемые диаграммы, Интеграции, Базы Данных и Архитектуру ПО, поддержку системы и секцию System Design с указанием примечаний и рекомендаций автора для подготовки к собеседованиям, а также часть про ПОДГОТОВКУ РЕЗЮМЕ с AI-review и проверкой вашего резюме автором курса",https://stepik.org/course/276214,normal,1,0,"[""Информационные технологии"",""Алгоритмы и структуры данных"",""Базы данных"",""Разработка программного обеспечения"",""Системный анализ и системный дизайн"",""Бизнес и менеджмент"",""Бизнес-анализ"",""Личностный рост"",""Карьерный рост ""]",,2026-03-12T19:02:57.962238+00:00,2026-03-14T11:24:35.452251+00:00,True,54999.0
371,276189,Entrance Exam Alif. Data Analytics,"Процесс отбора состоит из двух этапов: тестирования и HR беседы.
На этапе тестирования мы оцениваем ваши базовые знания, уровень подготовки и способность применять свои навыки на практике. Это помогает нам лучше понять ваш текущий уровень и потенциал для обучения.
HR этап является завершающей частью отбора и проходит в офлайн формате в виде беседы с командой. На этом этапе мы обращаем внимание на ваши коммуникативные навыки, уровень вовлеченности, мотивацию, умение работать в команде, открытость к развитию ",https://stepik.org/course/276189,easy,28,0,"[""Информационные технологии"",""Языки программирования"",""Python""]",,2026-03-14T10:49:51.191364+00:00,2026-03-14T11:24:35.453496+00:00,False,
